EID,ALTERNO,ALTDATE,ALTBE,ALTAF,TARGET
399,05,2014-01,10,50,0
399,27,2014-01,10,50,0
1382,05,2015-01,500,2000,1
2116,05,2015-03,200,1000,0
2863,05,2014-04,100,1500,0
2863,05,2014-04,90,100,0
3324,27,2013-09,150,170,0
3324,05,2014-12,170,217.113667,0
3324,05,2013-09,150,170,0
3324,05,2014-12,170万元,217.113667万元,0
3324,05,2013-09,150万元,170万元,0
3324,27,2013-09,150万元,170万元,0
3324,27,2013-09,150,170,0
3324,05,2014-12,170,217.113667,0
3324,05,2013-09,150,170,0
3324,05,2014-12,170万元,217.113667万元,0
3324,05,2013-09,150万元,170万元,0
3324,27,2013-09,150万元,170万元,0
6248,05,2015-06,60,1000,0
6248,05,2013-12,300,60,0
9027,05,2014-05,10,50,0
9027,05,2014-05,10万元,50万元,0
9027,05,2014-05,10,50,0
9027,05,2014-05,10万元,50万元,0
10882,27,2014-02,100,200,0
10882,05,2014-02,100,200,0
11422,05,2015-07,50,300,0
13854,05,2014-04,50,300,1
13859,05,2015-05,500,1130,0
14574,27,2013-09,3,50,1
14574,05,2013-09,3,50,1
15223,05,2015-02,3,3000,0
17591,05,2014-03,50,500,0
18078,05,2015-06,86587.8,400000,0
19315,05,2014-04,50,500,0
19400,27,2013-12,50,100,1
19400,05,2013-12,50,100,1
20448,27,2013-09,50,200,0
20448,05,2013-09,50,200,0
20818,27,2014-01,7926.82,8389.32,0
22360,05,2015-01,10,500,0
22940,05,2015-05,10,500,0
23141,05,2015-02,10,100,0
25758,05,2014-12,1000,5000,0
27378,05,2015-07,10,100,0
28937,05,2014-11,30,100,0
35899,05,2014-09,160,2000,0
35899,05,2015-04,2000,7000,0
36237,05,2015-05,50,1000,0
37455,05,2014-04,10,300,0
38092,05,2014-12,50,60,0
39412,05,2014-12,50,100,0
40445,05,2014-05,2000,5000,0
40449,05,2015-05,30,100,1
40708,05,2015-03,50,300,1
41647,05,2014-04,100,1000,0
41647,05,2015-04,1000,100,0
41735,05,2015-01,100,500,0
41766,05,2014-06,2000,2200,0
48548,05,2015-03,50,100,0
48782,05,2014-11,100,200,0
49869,05,2015-05,50,200,0
50268,05,2014-04,50,100,0
50464,05,2015-01,50,300,0
51872,05,2015-01,50,100,0
52401,05,2015-02,10,50,0
54687,05,2015-04,100,500,1
54687,05,2014-09,3,100,1
54870,05,2015-03,10,100,0
55090,05,2015-02,3,3.333334,0
55090,05,2015-06,3.6671,1000,0
55090,05,2015-04,3.333334,3.6671,0
60615,05,2015-08,3,100,0
60836,05,2014-07,3,200,0
61355,05,2015-03,10万元,100万元,0
61355,05,2015-03,10万元,100万元,0
63166,27,2014-01,15,101,0
63166,05,2014-01,15,101,0
64745,05,2015-07,80,800,0
65593,05,2013-10,28000,30000,0
65593,27,2013-12,30000,32000,0
65593,27,2013-10,28000,30000,0
65593,05,2013-12,30000,32000,0
66861,05,2014-09,200,1000,0
68303,05,2014-10,2000,400,1
68869,05,2015-01,50,100,1
70539,05,2013-10,3,100,1
70539,27,2013-10,3,100,1
72082,05,2014-09,10,1010,1
73033,05,2014-05,10,100,1
73038,05,2015-04,100,200,0
73310,05,2013-10,10,2030,0
77009,05,2014-03,100,1000,0
77009,05,2013-09,20,100,0
77009,27,2013-09,20,100,0
77197,05,2015-01,50,200,0
77918,05,2015-08,300,1000,0
