EID,TYPECODE,IFHOME,B_REYEAR,B_ENDYEAR,TARGET
247652,br210455,1,2014,,1
247652,br39865,1,2014,,1
247652,br196009,1,2014,,1
247652,br18244,1,2015,,1
247652,br145115,1,2014,,1
26268,br30155,0,2014,,0
26268,br90447,1,2004,,0
26268,br63081,0,2009,,0
26268,br33361,0,2007,,0
26268,br94955,0,2013,,0
26268,br40241,0,2008,,0
26268,br13993,0,2014,,0
26268,br45342,0,2012,,0
26268,br79017,0,2009,,0
26268,br80758,0,2009,,0
26268,br111115,0,2013,2015.0,0
26268,br85064,0,2005,2013.0,0
26268,br26775,0,2013,,0
26268,br86923,0,2009,2015.0,0
26268,br147869,0,2009,,0
19837,br30156,0,2011,2013.0,0
19837,br189,0,2011,2013.0,0
19837,br121049,0,2011,2012.0,0
19837,br182493,0,2011,2012.0,0
19837,br183742,0,2011,2012.0,0
19837,br125054,0,2011,2012.0,0
19837,br7562,0,2011,2013.0,0
19837,br70977,0,2011,2012.0,0
19837,br41940,0,2011,2013.0,0
19837,br72660,0,2011,2012.0,0
19837,br73419,0,2011,2013.0,0
19837,br45253,0,2011,2012.0,0
19837,br165676,0,2011,2012.0,0
19837,br196390,0,2011,2012.0,0
19837,br76579,0,2011,2013.0,0
19837,br46996,0,2011,2013.0,0
19837,br48196,0,2011,2012.0,0
19837,br198729,0,2011,2013.0,0
19837,br112367,0,2011,2012.0,0
19837,br22710,0,2011,2012.0,0
19837,br204405,0,2011,2012.0,0
19837,br24328,0,2011,2012.0,0
19837,br148808,0,2011,2013.0,0
329569,br60052,0,2012,,0
329569,br180099,0,2015,,0
329569,br180136,0,2011,,0
329569,br180162,0,2014,,0
329569,br160,0,2015,,0
329569,br30362,0,2011,,0
329569,br120216,0,2014,,0
329569,br150325,0,2012,,0
329569,br210658,0,2015,,0
329569,br90259,0,1997,,0
329569,br262,0,1997,,0
329569,br301,0,2009,,0
329569,br120353,0,2001,,0
329569,br150460,0,2011,,0
