EID,BTEID,IFHOME,BTBL,BTYEAR,BTENDYEAR,TARGET
1382,11833,1,0.2,2015,,1
2480,672379,0,0.75,2005,,0
2863,687788,0,0.429,2013,,0
3160,673816,1,0.8,2004,2006.0,0
3443,729048,0,1.0,2011,,0
3837,689504,1,1.0,1990,,0
3837,686941,1,1.0,1988,2007.0,0
3837,673100,1,1.0,1980,,0
3837,643007,1,1.0,1992,,0
3837,641731,1,1.0,1987,,0
3837,242098,1,1.0,1981,,0
3837,215516,1,1.0,1989,,0
3837,175841,1,1.0,1998,,0
3837,129798,1,1.0,1992,,0
4253,666183,0,0.8,2013,,0
4253,475585,1,0.8,2013,,0
4950,655996,0,0.2,2010,,0
6012,691434,1,0.4,2011,,0
6890,649269,1,0.207,2013,,0
6890,645120,1,1.0,2013,,0
7004,87847,1,0.003,2014,,0
7682,641080,1,1.0,2012,,0
7682,199675,1,1.0,2009,,0
7682,151295,1,1.0,2014,,0
7708,730796,1,0.16699999999999998,2006,,0
10253,735703,0,1.0,2006,,0
10253,713624,0,1.0,2004,,0
10253,707925,0,0.51,2014,,0
10253,705204,0,0.52,2004,,0
10253,700126,0,0.51,1996,,0
10253,689218,0,0.5,2005,,0
10253,670336,0,0.42,1993,,0
10253,661844,0,0.06,2009,,0
10253,660301,1,0.51,2012,,0
14454,709376,1,0.3,2011,2013.0,0
18078,722710,0,1.0,1985,,0
18078,697885,1,0.25,1989,,0
18078,676422,1,0.1,1991,,0
18078,667001,0,0.04,2010,,0
18078,648380,0,0.5,1984,1996.0,0
18078,642198,1,1.0,1996,,0
18078,333043,1,0.335,2013,,0
18078,256877,1,1.0,1987,,0
18078,120530,1,1.0,2011,,0
20807,633728,0,0.7,2003,2010.0,0
20807,157577,1,0.4,2000,,0
21730,661509,1,0.05,2014,,0
22099,642834,0,0.2,2014,,0
22699,696093,0,0.858,2014,,0
22699,634450,0,1.0,2014,,0
25758,701826,0,0.993,2007,,0
25758,672203,1,0.61,2002,,0
27147,642275,1,0.33299999999999996,2003,,0
28099,732742,0,0.2,2014,,0
28099,718525,0,0.5,2014,,0
28099,702752,1,0.25,2014,,0
29260,190518,1,0.5,2007,,0
33259,691953,0,0.51,2012,,0
33433,709559,1,0.4,1989,,0
33433,664351,1,0.7,1992,,0
