EID,TYPECODE,DJDATE,IFHOME,TARGET
4253,4445461,2014-08,0,0
4595,3184459,2013-12,0,0
4595,3214578,2013-12,0,0
4595,5697433,2015-08,0,0
7708,4408385,2014-07,1,0
7708,4285289,2014-06,1,0
7708,5659151,2015-08,1,0
7708,5461591,2015-06,1,0
8755,3229842,2013-12,1,0
8755,3979963,2014-01,1,0
8755,3979956,2014-01,1,0
8755,3977471,2014-01,1,0
10253,4689468,2014-11,1,0
10253,4838571,2014-12,1,0
18078,3212613,2013-12,0,0
18078,5450301,2015-06,0,0
18078,3147049,2013-11,1,0
18078,3238270,2013-12,1,0
18078,3175126,2013-12,1,0
18078,3176491,2013-12,0,0
18078,3051600,2013-10,1,0
18078,3107479,2013-11,1,0
18078,3238267,2013-12,1,0
18078,3012182,2013-09,0,0
18078,3205187,2013-12,0,0
18078,3211365,2013-12,0,0
18078,2975332,2013-09,1,0
18078,2986211,2013-09,0,0
18078,2984858,2013-09,1,0
18078,3131957,2013-11,0,0
18078,3034146,2013-09,1,0
18078,3186439,2013-12,0,0
18078,3155461,2013-11,0,0
18078,2987965,2013-09,0,0
18078,3091518,2013-10,0,0
18078,3018115,2013-09,0,0
18078,3090719,2013-10,1,0
18078,3181348,2013-12,1,0
18078,3111328,2013-11,1,0
18078,3011718,2013-09,0,0
18078,2970973,2013-09,1,0
18078,2987966,2013-09,0,0
18078,3026060,2013-09,1,0
18078,3010226,2013-09,1,0
18078,3008376,2013-09,0,0
18078,3092044,2013-10,0,0
18078,3019955,2013-09,1,0
18078,3094290,2013-10,1,0
18078,3148091,2013-11,0,0
18078,3031875,2013-09,0,0
18078,3142248,2013-11,0,0
18078,5224419,2015-04,0,0
18078,3178534,2013-12,0,0
18078,3184515,2013-12,0,0
18078,3052750,2013-10,1,0
18078,3228918,2013-12,0,0
18078,3122823,2013-11,1,0
18078,3212964,2013-12,0,0
18078,3241246,2013-12,0,0
18078,3107418,2013-11,0,0
18078,3186407,2013-12,1,0
18078,4997449,2015-02,0,0
18078,3126390,2013-11,0,0
18078,3222692,2013-12,0,0
18078,3113039,2013-11,1,0
18078,3013206,2013-09,0,0
18078,3229777,2013-12,0,0
18078,3231895,2013-12,1,0
18078,3074757,2013-10,1,0
18078,3135905,2013-11,1,0
18078,3071940,2013-10,1,0
18078,3125137,2013-11,0,0
18078,3180545,2013-12,0,0
18078,3111396,2013-11,0,0
18078,2978986,2013-09,0,0
18078,3020889,2013-09,0,0
18078,3127926,2013-11,1,0
18078,3118377,2013-11,0,0
18078,3029478,2013-09,1,0
18078,3095107,2013-11,0,0
18078,3173062,2013-12,0,0
18078,2978720,2013-09,1,0
18078,3224067,2013-12,0,0
18078,2980854,2013-09,1,0
18078,3202248,2013-12,0,0
18078,3142477,2013-11,1,0
18078,3114655,2013-11,0,0
18078,5633961,2015-07,0,0
18078,3992166,2014-01,0,0
18078,4236005,2014-06,0,0
18078,3228457,2013-12,0,0
18078,3182209,2013-12,1,0
18078,4098612,2014-04,0,0
18078,4770116,2014-11,1,0
18078,4411484,2014-08,0,0
18078,4497483,2014-08,0,0
18078,5516866,2015-07,1,0
18078,4837851,2014-12,0,0
18078,5625353,2015-07,1,0
18078,5372898,2015-06,1,0
18078,4827633,2014-12,1,0
18078,5002597,2015-02,0,0
18078,5021784,2015-02,0,0
18078,4784354,2014-11,0,0
18078,4894636,2014-12,1,0
18078,5520400,2015-07,1,0
18078,5414498,2015-06,1,0
18078,4846400,2014-12,0,0
18078,4547927,2014-09,0,0
18078,5690516,2015-08,1,0
18078,4590191,2014-09,0,0
18078,4308736,2014-07,0,0
