EID,TYPECODE,LAWDATE,LAWAMOUNT,TARGET
13431,42254671,2012-09-01,21600,0
13431,83561244,2014-04-01,200000,0
13431,73357726,2013-08-01,18000,0
14959,85043621,2014-03-01,3039000,0
14959,97806410,2014-03-01,3039000,0
14959,76432132,2014-03-01,3039000,0
22341,101655092,2015-05-01,2238200,0
22781,91782793,2014-06-01,3000,0
22781,81460313,2014-06-01,3000,0
22781,80142338,2014-05-01,67300,0
22781,97811431,2014-05-01,67300,0
22781,91781045,2014-05-01,67300,0
31614,104195868,2015-07-01,1014400,0
31614,108754218,2015-07-01,1014400,0
62305,103016423,2015-06-01,900,0
62305,102501734,2015-06-01,900,0
62305,44461560,2012-12-01,900,0
65593,60627346,2013-02-01,1100,0
66085,111544082,2014-12-01,6846000,1
66085,91746879,2014-09-01,6846000,1
66085,111863188,2014-12-01,6846000,1
66085,111863213,2014-09-01,6846000,1
66085,97962042,2014-12-01,6846000,1
66085,111544098,2014-09-01,6846000,1
66085,110604079,2014-11-01,6303000,1
72989,107674287,2015-04-01,5000,1
72989,100868638,2015-05-01,7800,1
72989,99588966,2015-04-01,5000,1
72989,101818962,2015-05-01,9400,1
72989,101737508,2015-05-01,7800,1
86052,109150467,2015-04-01,114000,0
86052,100689815,2015-04-01,114000,0
86217,105252350,2015-08-01,228700,0
102929,67903798,2013-06-01,48400,0
102929,61907675,2013-05-01,798600,0
103381,108760746,2015-05-01,64883400,0
103381,101484975,2015-05-01,64883400,0
111096,104525092,2015-01-01,2810000,0
111096,61119624,2013-02-01,1164300,0
115163,97791501,2014-10-01,6400,0
115163,91896507,2014-10-01,6400,0
121661,81387085,2014-05-01,46400,1
121661,92773177,2014-05-01,46400,1
121661,79306052,2014-03-01,555300,1
121661,91829726,2014-10-01,166800,1
121661,112203349,2014-12-01,124300,1
121661,97966427,2014-12-01,124300,1
121661,93818225,2014-12-01,394300,1
121661,111864912,2014-12-01,394300,1
121661,85053331,2014-01-01,60800,1
121661,61825375,2013-05-01,64000,1
121661,42091821,2012-09-01,140000,1
121661,85048079,2014-04-01,210000,1
121661,111546779,2014-12-01,394300,1
128016,96499934,2015-01-01,38900,0
133723,91763941,2014-08-01,18000,0
133723,85358663,2014-08-01,18000,0
133723,61064249,2012-12-01,5800,0
136999,60059859,2012-12-01,20600,0
138327,98076985,2015-01-01,863600,1
143380,75011482,2014-01-01,4600,0
145588,101230551,2015-05-01,0,1
145588,67782898,2013-09-01,423000,1
145588,99273833,2015-03-01,0,1
145588,99273828,2015-03-01,0,1
145588,99273822,2015-03-01,0,1
145588,75069575,2014-02-01,9500,1
145588,75069570,2014-02-01,147100,1
145588,111894789,2015-08-01,18960700,1
145588,112447516,2015-08-01,18960700,1
145588,91875467,2013-07-01,8989200,1
145588,81437679,2014-06-01,7373000,1
145588,107006189,2015-08-01,18960700,1
145588,83567716,2014-07-01,263900,1
145588,80085681,2014-02-01,9500,1
145588,68729503,2013-07-01,8989200,1
148648,112200183,2015-08-01,1400,0
148648,111974253,2015-08-01,1400,0
148648,99268473,2015-03-01,35000,0
148648,108950531,2015-04-01,10400,0
148648,108895368,2015-08-01,1400,0
148648,99971715,2015-04-01,26800,0
148648,108950492,2015-04-01,26800,0
148648,106054289,2015-08-01,1400,0
148648,99912848,2015-04-01,10400,0
148648,99589033,2015-04-01,15700,0
148648,109015293,2015-03-01,35000,0
148669,93746273,2012-12-01,5000,1
148931,80137922,2014-05-01,34200,0
148931,80137920,2014-05-01,41000,0
157757,76437049,2014-03-01,2000000,0
161482,106054200,2015-04-01,570000,0
161482,100542238,2015-04-01,570000,0
161482,108904999,2015-04-01,570000,0
162979,85064163,2014-07-01,1534900,0
162979,108772111,2015-07-01,60000,0
171399,104198809,2015-01-01,419100,0
182433,111384283,2015-08-01,811800,0
182433,108839598,2015-08-01,811800,0
182433,106711447,2015-08-01,811800,0
184565,79283203,2014-03-01,450000,0
184565,102353592,2015-06-01,39000,0
185385,61359856,2013-04-01,36000,1
188562,99092779,2015-03-01,0,1
193252,44453972,2012-10-01,297800,0
204789,62164411,2013-06-01,42500,0
204789,62163966,2013-06-01,37800,0
204789,62160143,2013-06-01,22000,0
204789,62159881,2013-06-01,37800,0
204789,62160462,2013-06-01,47400,0
204789,62161502,2013-06-01,37800,0
204789,62161360,2013-06-01,27400,0
204789,62161760,2013-06-01,42800,0
204789,44524213,2012-11-01,8100,0
