EID,TYPECODE,FBDATE,SXENDDATE,TARGET
66085,812594,2014/12/1,,1
66085,91060948,2014/12/1,,1
113907,1045611,2015/1/1,,1
113907,1498704,2015/4/1,,1
113907,1497269,2015/4/1,,1
113907,65987607,2015/1/1,,1
113907,15085743,2015/4/1,,1
113907,34215156,2015/4/1,,1
121661,814305,2014/12/1,,1
121661,1140188,2015/1/1,,1
121661,1140186,2015/1/1,,1
121661,91829726,2015/1/1,,1
121661,79306052,2014/12/1,,1
145588,744339,2014/11/1,,1
145588,81437679,2014/11/1,,1
148648,2333207,2015/8/1,,0
148648,99589033,2015/8/1,,0
148931,1106374,2015/1/1,,0
148931,80137920,2015/1/1,,0
203590,404386,2014/8/1,,0
209166,219898,2014/7/1,,0
212895,11117,2013/10/1,,0
212895,60087942,2013/10/1,,0
213603,893080,2014/12/1,,0
213603,287522,2014/10/1,,0
213603,83574460,2014/10/1,,0
214508,1937737,2015/7/1,,1
214508,102686366,2015/7/1,,1
216953,236891,2014/8/1,,0
216953,2179257,2015/8/1,,0
216953,101483186,2015/8/1,,0
290294,1439216,2015/4/1,,0
313644,1642285,2015/5/1,,0
313644,98464406,2015/5/1,,0
377796,725152,2014/11/1,,0
377796,220984,2014/8/1,,0
377796,220981,2014/8/1,,0
377796,237079,2014/8/1,,0
377796,220834,2014/7/1,,0
377796,220903,2014/7/1,,0
377796,21963359,2014/8/1,,0
377796,80071235,2014/7/1,,0
377796,87370643,2014/11/1,,0
377796,700661457,2014/8/1,,0
377796,81378728,2014/7/1,,0
377796,21963211,2014/8/1,,0
384473,1371364,2015/3/1,2015/7/1,0
397841,1069132,2015/1/1,,0
397841,29535997,2015/1/1,,0
404254,1621496,2015/5/1,,0
404254,1621511,2015/5/1,,0
404254,96509603,2015/5/1,,0
404254,96509718,2015/5/1,,0
409701,808950,2014/12/1,2015/7/1,0
409701,1498694,2015/4/1,,0
409701,14945186,2015/4/1,,0
450186,19646,2013/10/1,,0
450878,1066077,2015/1/1,,0
475816,1446943,2015/4/1,,0
478104,1404261,2015/4/1,,1
478104,96515394,2015/4/1,,1
522607,155577,2014/6/1,,0
522607,1644214,2015/5/1,,0
522607,2038818,2015/7/1,,0
522607,79573079,2014/6/1,,0
522607,92425555,2015/5/1,,0
522607,103064882,2015/7/1,,0
3488,873434,2014/12/1,,0
3488,1516224,2015/4/1,,0
11305,590813,2014/11/1,,0
11305,81377028,2014/11/1,,0
26326,928838,2014/12/1,2015/7/1,0
55822,1463384,2015/4/1,,0
55822,97965244,2015/4/1,,0
56117,831281,2014/12/1,,0
56117,91691123,2014/12/1,,0
74469,884968,2015/1/1,,0
74469,91746641,2015/1/1,,0
78615,1063870,2015/1/1,,0
78615,85057874,2015/1/1,,0
102558,1380221,2015/3/1,,0
102558,99304565,2015/3/1,,0
139252,255939,2014/8/1,,1
139252,73368711,2014/8/1,,1
167082,195162,2014/6/1,,0
167082,73368709,2014/6/1,,0
173393,13366,2013/10/1,,1
190702,900335,2014/12/1,2015/7/1,0
190702,900332,2014/12/1,2015/7/1,0
190702,900330,2014/12/1,2015/7/1,0
243821,2242092,2015/8/1,,0
243821,104866408,2015/8/1,,0
247515,1269002,2015/3/1,,0
282612,1165634,2015/2/1,,0
282612,91743211,2015/2/1,,0
291279,1048998,2015/3/1,,0
291279,65983319,2015/3/1,,0
314549,1094763,2015/1/1,,1
314549,60047692,2015/1/1,,1
325378,1630378,2015/5/1,,0
346536,1388136,2015/4/1,,0
346536,96520240,2015/4/1,,0
348349,15263,2013/10/1,,0
348349,66257716,2013/10/1,,0
420233,770360,2014/12/1,,0
420233,958475,2015/1/1,,0
420233,89127198,2014/12/1,,0
428502,171199,2014/6/1,,1
428502,3908,2013/10/1,,1
428502,1093620,2015/3/1,,1
428502,1267520,2015/3/1,,1
428502,66060450,2015/3/1,,1
428502,66076573,2013/10/1,,1
428502,66062916,2015/3/1,,1
443721,957000,2015/1/1,,0
443721,957090,2015/1/1,,0
443721,956999,2015/1/1,,0
443721,957102,2015/1/1,,0
463969,1190763,2015/2/1,,1
463969,96529638,2015/2/1,,1
476827,227962,2014/8/1,,0
476827,337994,2014/9/1,,0
476827,81378704,2014/8/1,,0
494729,216555,2014/7/1,,0
494729,216511,2014/7/1,,0
494729,981822,2015/1/1,,0
494729,73368330,2014/7/1,,0
494729,73368332,2014/7/1,,0
516955,1498970,2015/4/1,,0
16905,215855,2014/8/1,,0
16905,207392,2014/8/1,,0
16905,18431501,2014/8/1,,0
43204,2269515,2015/8/1,,0
72976,216428,2014/7/1,,0
72976,216405,2014/7/1,,0
72976,216481,2014/7/1,,0
72976,199746,2014/7/1,,0
72976,216458,2014/7/1,,0
72976,216469,2014/7/1,,0
72976,216515,2014/7/1,,0
72976,216351,2014/7/1,,0
72976,216416,2014/7/1,,0
72976,216443,2014/7/1,,0
72976,216376,2014/7/1,,0
72976,212671,2014/7/1,,0
72976,199741,2014/7/1,,0
72976,199743,2014/7/1,,0
72976,199745,2014/7/1,,0
72976,199740,2014/7/1,,0
72976,199744,2014/7/1,,0
72976,32175984,2014/7/1,,0
72976,37953144,2014/7/1,,0
72976,37953023,2014/7/1,,0
72976,37954865,2014/7/1,,0
72976,32176090,2014/7/1,,0
72976,32175412,2014/7/1,,0
72976,37953887,2014/7/1,,0
72976,37954677,2014/7/1,,0
72976,37954395,2014/7/1,,0
72976,37953586,2014/7/1,,0
72976,32176323,2014/7/1,,0
72976,37953509,2014/7/1,,0
72976,32175683,2014/7/1,,0
72976,37953377,2014/7/1,,0
72976,37955133,2014/7/1,,0
72976,37955251,2014/7/1,,0
79149,215879,2014/8/1,,0
79149,174715,2014/6/1,,0
79149,73370610,2014/6/1,,0
81064,1284823,2015/3/1,,0
87339,571522,2014/10/1,,1
87339,87813313,2014/10/1,,1
148559,1055873,2015/3/1,,0
148559,66008971,2015/3/1,,0
177903,661171,2015/1/1,,0
222286,70595,2014/1/1,,1
222286,72945505,2014/1/1,,1
236872,602984,2014/10/1,,1
236872,602989,2014/10/1,,1
236872,86943036,2014/10/1,,1
236872,86943034,2014/10/1,,1
237949,707746,2014/11/1,,0
237949,88402943,2014/11/1,,0
265961,482079,2014/9/1,,0
265961,41388847,2014/9/1,,0
298347,1247772,2015/3/1,,0
298347,2341497,2015/8/1,,0
298347,80290587,2015/3/1,,0
298347,96504018,2015/8/1,,0
300010,1112670,2015/1/1,,1
300010,2232161,2015/8/1,,1
300010,98911343,2015/8/1,,1
300010,92780770,2015/1/1,,1
375575,218730,2014/8/1,,0
407355,2333554,2015/8/1,,1
427064,208018,2014/7/1,2015/7/1,0
427064,204354,2014/7/1,2015/7/1,0
456822,194714,2014/6/1,,0
456822,27386551,2014/6/1,,0
465690,1927519,2015/7/1,,1
465690,1927505,2015/7/1,,1
465690,1934270,2015/7/1,,1
465690,103032144,2015/7/1,,1
465690,103032109,2015/7/1,,1
465690,103030812,2015/7/1,,1
499183,1495305,2015/4/1,,0
2940,2024169,2015/7/1,,0
2940,100870298,2015/7/1,,0
19383,1531656,2015/5/1,,1
19383,27883471,2015/5/1,,1
39909,1213490,2015/2/1,,0
39909,73324882,2015/2/1,,0
60502,234059,2014/8/1,,1
98864,1636359,2015/5/1,,0
111351,483278,2014/9/1,,0
111351,80324209,2014/9/1,,0
113951,1711187,2015/6/1,,0
113951,101092730,2015/6/1,,0
135844,1249197,2015/3/1,,0
135844,62244862,2015/3/1,,0
139816,1824232,2015/6/1,,0
139816,1823835,2015/6/1,,0
139816,27878337,2015/6/1,,0
139816,28100682,2015/6/1,,0
184444,237115,2014/8/1,,1
