EID,WZCODE,RECRNUM,RECDATE,TARGET
1382,ZP02,8.0,2015-08,1
2480,ZP02,2124.0,2015-08,0
3324,ZP02,15.0,2015-08,0
3324,ZP03,10.0,2015-08,0
3324,ZP01,,2014-12,0
3529,ZP03,23.0,2015-08,0
4253,ZP01,1.0,2015-01,0
4253,ZP03,8.0,2015-07,0
4253,ZP02,,2014-10,0
4595,ZP02,8.0,2015-08,0
4950,ZP02,1.0,2015-05,0
6248,ZP01,7.0,2015-08,0
7004,ZP02,13.0,2015-08,0
7004,ZP03,3.0,2015-08,0
7708,ZP02,8.0,2015-08,0
9900,ZP03,3.0,2015-08,0
13854,ZP02,13.0,2015-06,1
13854,ZP03,6.0,2015-04,1
13859,ZP03,22.0,2015-08,0
18078,ZP02,24.0,2015-08,0
18078,ZP03,16.0,2015-08,0
18599,ZP02,20.0,2015-08,0
18599,ZP03,,2014-10,0
19295,ZP03,1.0,2015-08,0
19315,ZP01,3.0,2015-02,0
19315,ZP02,7.0,2015-04,0
19315,ZP03,,2014-11,0
19484,ZP02,12.0,2015-08,0
19484,ZP03,20.0,2015-04,0
20807,ZP02,7.0,2015-08,0
20807,ZP03,5.0,2015-08,0
21543,ZP02,52.0,2015-03,0
22956,ZP02,16.0,2015-04,0
22956,ZP03,10.0,2015-06,0
23070,ZP02,1.0,2015-06,0
24369,ZP02,9.0,2015-05,0
24630,ZP02,18.0,2015-05,0
24630,ZP03,10.0,2015-01,0
25758,ZP02,174.0,2015-08,0
25758,ZP03,,2014-10,0
26776,ZP01,6.0,2015-07,0
26776,ZP02,17.0,2015-08,0
33763,ZP01,1.0,2015-02,0
33763,ZP02,1.0,2015-01,0
33763,ZP03,,2014-09,0
34483,ZP02,1.0,2015-08,0
35899,ZP01,2.0,2015-05,0
35899,ZP02,11.0,2015-08,0
35899,ZP03,21.0,2015-08,0
36016,ZP02,8.0,2015-08,0
36016,ZP03,6.0,2015-08,0
36016,ZP01,,2014-12,0
38092,ZP02,4.0,2015-03,0
39412,ZP02,1.0,2015-07,0
40409,ZP02,62.0,2015-08,0
